2025-10-06 00:49:10,360 - MultiInterfaceGUI - INFO - setup_logging:574 - Multi-Interface Shark GUI logging initialized
2025-10-06 00:49:10,494 - MultiInterfaceGUI - INFO - setup_auto_save:581 - Auto-save enabled: saving session state every 30 seconds
2025-10-06 00:49:12,715 - MultiInterfaceGUI - INFO - log_message:867 - 🦈 Starting Multi-Interface Network Monitor...
2025-10-06 00:49:12,716 - MultiInterfaceGUI - INFO - log_message:867 - 📅 Monitoring duration set to: 6h 0m (21600s)
2025-10-06 00:49:12,717 - MultiInterfaceGUI - INFO - log_message:867 - ✅ Multi-interface monitoring started successfully!
2025-10-06 00:49:12,718 - MultiInterfaceGUI - INFO - log_message:867 - 🦈 Starting Multi-Interface Network Monitor...
2025-10-06 00:49:12,720 - persistent_wireshark_monitor - INFO - setup_logging:83 - Persistent Wireshark Monitor initialized
2025-10-06 00:49:12,721 - persistent_wireshark_monitor - WARNING - __init__:66 - Could not register signal handlers (not main thread): signal only works in main thread of the main interpreter
2025-10-06 00:49:12,721 - MultiInterfaceGUI - INFO - log_message:867 - ✅ Monitor initialized - Discovering interfaces...
2025-10-06 00:49:12,727 - persistent_wireshark_monitor - ERROR - discover_interfaces:115 - Failed to discover interfaces: [Errno 2] No such file or directory: 'tshark'
2025-10-06 00:49:12,731 - persistent_wireshark_monitor - INFO - detect_interface_activity:151 - Activity detected on awdl0: +13 packets, +1024 bytes
2025-10-06 00:49:12,732 - persistent_wireshark_monitor - INFO - detect_interface_activity:151 - Activity detected on lo0: +780 packets, +108544 bytes
2025-10-06 00:49:12,732 - persistent_wireshark_monitor - INFO - detect_interface_activity:151 - Activity detected on en0: +927356 packets, +1191240704 bytes
2025-10-06 00:49:12,734 - MultiInterfaceGUI - INFO - log_message:867 - 📡 Discovered 4 interfaces: awdl0, en0, en1, lo0
2025-10-06 00:49:12,735 - MultiInterfaceGUI - INFO - log_message:867 - 🚀 Starting interface statistics monitoring...
2025-10-06 00:49:12,742 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:12,742 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Activity detected on: en0, awdl0, lo0
2025-10-06 00:49:15,182 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:16,751 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:18,764 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:20,774 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:22,783 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:24,796 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:26,805 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:28,813 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:30,819 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:32,831 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:34,845 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:36,856 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:38,863 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:40,195 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 00:49:40,875 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:42,885 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:44,897 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:46,909 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:48,920 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:50,932 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:52,945 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:54,953 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:56,964 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:49:58,970 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:00,982 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:02,990 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:04,993 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:06,999 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:09,009 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:10,195 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 00:50:11,015 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:13,025 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:15,035 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:17,040 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:19,045 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:21,051 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:23,061 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:25,066 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:27,076 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:29,081 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:31,086 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:33,095 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:35,101 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:37,110 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:39,120 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:40,195 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 00:50:41,130 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:43,136 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:45,136 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:47,144 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:49,150 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:51,156 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:53,164 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:55,171 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:57,179 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:50:59,189 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:51:01,199 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:51:03,203 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:51:05,211 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:51:07,214 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:51:09,220 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:51:10,194 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 00:51:11,226 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:51:13,232 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:51:15,237 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:51:17,242 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
2025-10-06 00:51:19,247 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 20 interfaces, 17 up, 0 active
