2025-10-06 21:45:35,318 - MultiInterfaceGUI - INFO - setup_logging:574 - Multi-Interface Shark GUI logging initialized
2025-10-06 21:45:35,441 - MultiInterfaceGUI - INFO - setup_auto_save:581 - Auto-save enabled: saving session state every 30 seconds
2025-10-06 21:45:38,238 - MultiInterfaceGUI - INFO - log_message:867 - 🦈 Starting Multi-Interface Network Monitor...
2025-10-06 21:45:38,241 - MultiInterfaceGUI - INFO - log_message:867 - 📅 Monitoring duration set to: 6h 0m (21600s)
2025-10-06 21:45:38,241 - MultiInterfaceGUI - INFO - log_message:867 - ✅ Multi-interface monitoring started successfully!
2025-10-06 21:45:38,242 - MultiInterfaceGUI - INFO - log_message:867 - 🦈 Starting Multi-Interface Network Monitor...
2025-10-06 21:45:38,242 - persistent_wireshark_monitor - INFO - setup_logging:83 - Persistent Wireshark Monitor initialized
2025-10-06 21:45:38,243 - persistent_wireshark_monitor - WARNING - __init__:66 - Could not register signal handlers (not main thread): signal only works in main thread of the main interpreter
2025-10-06 21:45:38,250 - persistent_wireshark_monitor - ERROR - discover_interfaces:115 - Failed to discover interfaces: [Errno 2] No such file or directory: 'tshark'
2025-10-06 21:45:38,253 - persistent_wireshark_monitor - INFO - detect_interface_activity:151 - Activity detected on lo0: +221856 packets, +366080000 bytes
2025-10-06 21:45:38,253 - persistent_wireshark_monitor - INFO - detect_interface_activity:151 - Activity detected on en0: +427630 packets, +480762880 bytes
2025-10-06 21:45:38,254 - persistent_wireshark_monitor - INFO - detect_interface_activity:151 - Activity detected on awdl0: +11 packets, +1024 bytes
2025-10-06 21:45:38,254 - MultiInterfaceGUI - INFO - log_message:867 - ✅ Monitor initialized - Discovering interfaces...
2025-10-06 21:45:38,257 - MultiInterfaceGUI - INFO - log_message:867 - 📡 Discovered 4 interfaces: awdl0, en0, en1, lo0
2025-10-06 21:45:38,257 - MultiInterfaceGUI - INFO - log_message:867 - 🚀 Starting interface statistics monitoring...
2025-10-06 21:45:38,263 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:45:38,263 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Activity detected on: lo0, en0, awdl0
2025-10-06 21:45:40,266 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:45:42,277 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:45:44,280 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:45:46,289 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:45:48,295 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:45:50,303 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:45:52,313 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:45:54,321 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:45:56,328 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:45:58,340 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:46:00,352 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:46:02,363 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:46:04,375 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:46:05,729 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 21:46:06,382 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
